"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.044429340E-1,7.226526737E-3,1.305988431E-2,-3.157901764E-2,3.492875065E-2
5.092137680E-1,2.384267747E-3,1.531290263E-2,-3.600311279E-2,3.919686021E-2
5.139838200E-1,1.655321568E-2,1.277612895E-2,-2.853488922E-2,3.537623953E-2
5.187546530E-1,2.581530809E-2,7.894620299E-3,-1.640224457E-2,3.158779493E-2
5.235263200E-1,2.082186192E-2,7.774285972E-3,-4.387855530E-3,2.265486112E-2
5.282971530E-1,2.062042803E-2,7.684532553E-3,-6.718635559E-3,2.300856702E-2
5.330672050E-1,1.096595824E-2,1.473892480E-2,-1.139640808E-2,2.161865540E-2
5.378380910E-1,1.403413713E-3,2.172834054E-2,-8.917808533E-3,2.352908119E-2
5.426097050E-1,3.760658205E-3,2.153896540E-2,-2.069187164E-2,3.010354021E-2
5.473805380E-1,8.496806026E-3,1.420895010E-2,-8.641242981E-3,1.867514541E-2
5.521505910E-1,3.701552749E-3,6.947636604E-3,1.753139496E-2,1.921772506E-2
5.569214760E-1,-1.053912938E-2,-2.186074853E-4,1.025485992E-2,1.470656960E-2
5.616930910E-1,-1.281820983E-2,-2.603732049E-3,3.045082092E-3,1.342975982E-2
5.664639240E-1,-1.267664880E-2,2.178661525E-3,-1.727104187E-3,1.297793819E-2
5.712340280E-1,-1.734026894E-2,-4.916958511E-3,-1.711845398E-3,1.810502203E-2
5.760048610E-1,-1.959110796E-2,-7.176257670E-3,5.422592163E-3,2.155724220E-2
5.807764760E-1,-2.416881174E-2,1.990795135E-5,1.012134552E-2,2.620254744E-2
5.855473090E-1,-1.921503991E-2,5.166977644E-6,1.952934265E-2,2.739731757E-2
5.903173610E-1,-1.190290600E-2,-7.130354643E-3,1.224040985E-2,1.850266905E-2
5.950882470E-1,-9.429864585E-3,-7.055781782E-3,5.015373230E-3,1.280079573E-2
5.998598610E-1,-1.169746369E-2,4.858616740E-3,-6.897926331E-3,1.442283610E-2
6.046306950E-1,-1.637814566E-2,4.803333431E-3,-1.871013641E-2,2.532557743E-2
6.094007990E-1,-1.386888698E-2,2.374365926E-3,-1.855468750E-2,2.328647822E-2
6.141716320E-1,-9.035013616E-3,1.421074197E-2,-2.077388763E-2,2.674193459E-2
6.189432470E-1,-2.086033672E-2,1.167487726E-2,-3.484630585E-2,4.225779737E-2
6.237140800E-1,-2.783880383E-2,-3.364421427E-4,-4.405212402E-2,5.211239606E-2
6.284841840E-1,-2.523416653E-2,-3.482103348E-4,-3.893756866E-2,4.640063216E-2
6.332550180E-1,-2.980203927E-2,1.957058907E-3,-3.623867035E-2,4.695990686E-2
6.380266320E-1,-2.720953524E-2,1.840684563E-3,-3.830909729E-2,4.702482177E-2
6.427975180E-1,-3.173272312E-2,1.359624788E-2,-3.086662292E-2,4.630952476E-2
6.475675700E-1,-3.149812669E-2,1.818797365E-2,-1.636409760E-2,3.988380699E-2
6.523384030E-1,-2.648856491E-2,1.345384866E-3,-1.860141754E-2,3.239547601E-2
6.571100180E-1,-2.626904845E-2,-3.514617682E-3,-1.607131958E-2,3.099520539E-2
6.618809030E-1,-2.845428884E-2,-3.556884825E-3,-1.356220245E-2,3.172114939E-2
6.666509550E-1,-2.349856868E-2,-5.944874138E-3,-8.700370789E-3,2.575307187E-2
6.714217880E-1,-1.380751655E-2,-1.218806952E-3,-1.504898071E-3,1.394265835E-2
6.761934550E-1,-4.197217524E-3,-1.280430704E-3,8.811950684E-4,4.475784007E-3
6.809642880E-1,-1.789607108E-3,-1.083790883E-2,5.620956421E-3,1.233929141E-2
6.857343410E-1,-4.150196910E-3,-1.322197542E-2,1.032352448E-2,1.728062284E-2
6.905052260E-1,-1.742824912E-3,-1.790336706E-2,1.735973358E-2,2.499856677E-2
6.952768410E-1,-1.758307219E-3,-2.014289051E-2,1.246643066E-2,2.375372762E-2
7.000476740E-1,-4.119306803E-3,-2.001809701E-2,5.240440369E-3,2.109869929E-2
7.048177260E-1,6.051212549E-4,-2.701720595E-2,5.197525024E-3,2.751926336E-2
7.095886110E-1,7.664173841E-3,-2.443270385E-2,4.072189331E-4,2.560981073E-2
7.143602260E-1,7.627576590E-3,-1.240185276E-2,-6.719589233E-3,1.603554664E-2
7.191310590E-1,1.468509436E-2,-1.709008031E-2,-4.289627075E-3,2.293738742E-2
7.239011630E-1,2.168352157E-2,-1.699050330E-2,7.617950439E-3,2.858120849E-2
7.286719970E-1,2.384711057E-2,-9.769752622E-3,-1.143932343E-2,2.819558244E-2
7.334436110E-1,3.076946735E-2,-7.328975946E-3,-1.609134674E-2,3.548810293E-2
7.382144450E-1,2.098660916E-2,-4.937030375E-3,-8.834838867E-3,2.329949379E-2
7.429845490E-1,1.131375879E-2,-7.284820080E-3,-1.825714111E-2,2.268023243E-2
7.477553820E-1,1.831192523E-2,-4.864539951E-3,-1.810455322E-2,2.620620541E-2
7.525269970E-1,2.287776768E-2,-4.838790745E-3,-8.457183838E-3,2.486624436E-2
7.572978300E-1,2.746254951E-2,7.057484239E-3,-6.012916565E-3,2.898542521E-2
7.620679340E-1,3.200910985E-2,9.386524558E-3,-1.071166992E-2,3.503469465E-2
7.668387680E-1,3.174086660E-2,-2.605497837E-3,-8.247375488E-3,3.289818284E-2
7.716103820E-1,3.153198212E-2,-4.972722381E-3,6.066322327E-3,3.249298588E-2
7.763812680E-1,2.654791623E-2,-1.690685749E-4,1.551246643E-2,3.074828540E-2
7.811513200E-1,1.925970614E-2,6.968699396E-3,1.063346863E-2,2.307747185E-2
7.859221530E-1,1.203238219E-2,6.924323738E-3,1.529216766E-2,2.065368907E-2
7.906938200E-1,1.667903364E-2,9.254474193E-3,1.753807068E-2,2.591176140E-2
7.954646530E-1,9.444594383E-3,1.391107589E-2,1.501846313E-2,2.254490254E-2
8.002347050E-1,7.018864155E-3,1.855714992E-2,1.251888275E-2,2.345963965E-2
8.050055910E-1,1.408172399E-2,1.129332185E-2,1.241493225E-2,2.190809466E-2
8.097772050E-1,6.897561252E-3,1.744817942E-3,1.705932617E-2,1.848354269E-2
8.145480380E-1,-5.032017827E-3,-3.004319966E-3,1.454353333E-2,1.567997141E-2
8.193180910E-1,-1.211374998E-2,-6.201416254E-4,2.391910553E-2,2.681885761E-2
8.240889760E-1,-9.640157223E-3,6.521388888E-3,2.846717834E-2,3.075453442E-2
8.288605910E-1,2.309545875E-3,4.078105092E-3,9.237289429E-3,1.035820734E-2
8.336314240E-1,-7.179155946E-3,-6.619803607E-4,-2.709388733E-3,7.701901414E-3
8.384015280E-1,-1.661715284E-2,-6.429888308E-4,-7.435798645E-3,1.821631973E-2
8.431723610E-1,-1.882582903E-2,1.359268278E-2,-1.686954498E-2,2.870112213E-2
8.479439760E-1,-2.341860533E-2,1.352161169E-2,-1.435565948E-2,3.061617248E-2
8.527148090E-1,-2.794447541E-2,3.954321146E-3,-1.186180115E-2,3.061425629E-2
8.574849130E-1,-2.531032637E-2,1.560918987E-3,-3.075599670E-2,3.986201729E-2
8.622557470E-1,-1.794983447E-2,1.561615616E-3,-4.474449158E-2,4.823592776E-2
8.670273610E-1,-2.252155542E-2,-5.531419069E-3,-4.199695587E-2,4.797459075E-2
8.717982470E-1,-2.942919731E-2,-3.097478300E-3,-4.876899719E-2,5.704460635E-2
8.765682990E-1,-2.203439176E-2,1.690335572E-3,-6.260776520E-2,6.639355328E-2
8.813391320E-1,-1.944964379E-2,1.661680639E-3,-5.021667480E-2,5.387730742E-2
8.861107990E-1,-2.641151100E-2,1.661751419E-3,-3.080463409E-2,4.061101837E-2
8.908816320E-1,-1.904185116E-2,1.633118838E-3,-3.529644012E-2,4.013848351E-2
8.956516840E-1,-1.410789415E-2,-7.407255471E-4,-2.550601959E-2,2.915713270E-2
9.004225700E-1,-1.399169490E-2,-1.024593413E-2,-2.291774750E-2,2.873969107E-2
9.051941840E-1,-1.625075191E-2,-1.724058948E-2,-2.985000610E-2,3.810968024E-2
9.099650180E-1,-2.321079001E-2,-1.473733410E-2,-2.010440826E-2,3.406049061E-2
9.147351220E-1,-2.539301664E-2,-7.478166372E-3,-1.044082642E-2,2.845591542E-2
9.195059550E-1,-3.227659687E-2,-7.373876870E-3,-1.272773743E-2,3.547038294E-2
9.242775700E-1,-3.435465321E-2,-1.442116871E-2,-1.737022400E-2,4.110884316E-2
9.290484030E-1,-2.457313240E-2,-9.567476809E-3,-1.485061646E-2,3.026410840E-2
9.338185070E-1,-1.247036830E-2,-2.351813018E-3,-1.472663879E-2,1.944003601E-2
9.385893410E-1,-9.993668646E-3,-9.440954775E-3,-1.460361481E-2,2.005668481E-2
9.433609550E-1,-2.178262547E-2,-4.628553987E-3,-9.734153748E-3,2.430349838E-2
9.481318410E-1,-2.400536835E-2,4.892248660E-3,-4.904747009E-3,2.498496248E-2
9.529018930E-1,-1.193581149E-2,7.210645825E-3,-1.198577881E-2,1.838792818E-2
9.576727260E-1,-9.520385414E-3,7.135573775E-3,-2.138137817E-2,2.446870418E-2
9.624443930E-1,-4.722595215E-3,4.658702761E-3,-2.357864380E-2,2.449405765E-2
9.672152260E-1,6.368756294E-5,2.230957150E-3,-2.338218689E-2,2.348846291E-2
9.719852780E-1,4.809945822E-3,6.946090609E-3,-1.843833923E-2,2.028191577E-2
9.767561630E-1,-2.325586975E-3,1.165041327E-2,-8.789062500E-3,1.477796007E-2
9.815277780E-1,-4.681728780E-3,9.164400399E-3,-1.346302032E-2,1.694572912E-2
9.862986110E-1,4.852645099E-3,1.379286498E-2,-2.284908295E-2,2.712695855E-2
9.910686630E-1,-4.685744643E-3,1.606577635E-2,-2.503204346E-2,3.011093775E-2
9.958395490E-1,-4.619725049E-3,6.449203938E-3,-2.007389069E-2,2.158460512E-2
1.000611163E0,-2.208441496E-3,8.783314377E-3,-1.753330231E-2,1.973424726E-2
1.005381997E0,-4.537075758E-3,6.321195513E-3,-1.026535034E-2,1.288099324E-2
1.010152101E0,4.995957017E-3,8.599430323E-3,1.689910889E-3,1.008789310E-2
1.014922934E0,7.298640907E-3,1.323281229E-2,-6.980895996E-4,1.512827846E-2
1.019694549E0,1.198475808E-2,3.639653325E-3,-3.066062927E-3,1.289504728E-2
1.024465434E0,2.135178447E-2,-8.276395500E-3,4.082679749E-3,2.326081891E-2
1.029235486E0,2.117249370E-2,-3.445435315E-3,1.354503632E-2,2.536953927E-2
1.034006320E0,1.624640822E-2,6.122041494E-3,1.817989349E-2,2.513829150E-2
1.038777986E0,1.610951126E-2,6.113413721E-3,1.565456390E-2,2.327993882E-2
1.043548820E0,1.359975338E-2,-3.448896110E-3,1.552391052E-2,2.092462602E-2
1.048318872E0,4.017077386E-3,-3.406666219E-3,2.964019775E-2,3.010454465E-2
1.053089757E0,-7.659047842E-4,-3.421738744E-3,3.176689148E-2,3.195982322E-2
1.057861372E0,8.764192462E-3,-3.436483443E-3,-8.858680725E-3,1.292658935E-2
1.062632205E0,2.053190768E-2,3.728508949E-3,1.970481873E-2,2.870088662E-2
1.067402309E0,2.994132042E-2,6.057020277E-3,2.428722382E-2,3.902613744E-2
1.072173143E0,4.153271019E-2,3.617621958E-3,-4.404067993E-3,4.192193960E-2
1.076944757E0,4.118524492E-2,3.544211388E-3,2.756118774E-3,4.142924117E-2
1.081715591E0,3.368975222E-2,1.293953136E-2,-1.388549805E-2,3.866830656E-2
1.086485695E0,4.050176591E-2,2.465898171E-2,-3.988647461E-2,6.196280560E-2
1.091256528E0,3.541459143E-2,2.438176051E-2,-5.379962921E-2,6.886990370E-2
1.096028143E0,2.799552679E-2,2.416401356E-2,-2.960968018E-2,4.737491142E-2
1.100799028E0,2.306937426E-2,2.397655696E-2,-8.735656738E-4,3.328414682E-2
1.105569080E0,2.290409803E-2,2.619326487E-2,2.287483215E-2,4.164063853E-2
1.110339913E0,2.748864889E-2,1.652057469E-2,8.440017700E-3,3.316306839E-2
1.115111580E0,2.728655189E-2,-2.596363425E-3,-1.127243042E-3,2.743296729E-2
1.119882413E0,2.233797312E-2,-1.205762476E-2,-5.866050720E-3,2.605344332E-2
1.124652466E0,1.036513597E-2,-9.569302201E-3,-1.070022583E-3,1.414752758E-2
1.129423351E0,-3.910683095E-3,-9.447164834E-3,2.267932892E-2,2.487758682E-2
1.134194966E0,-2.047000825E-2,-9.297776967E-3,5.810165405E-2,6.229985633E-2
1.138965799E0,-1.786982268E-2,-1.152357832E-2,7.423591614E-2,7.722107656E-2
1.143735903E0,-1.526255533E-2,-2.563048154E-2,5.937194824E-2,6.644467938E-2
1.148506736E0,-1.982805878E-2,-3.249715641E-2,3.750801086E-2,5.344219278E-2
1.153278351E0,-1.966404170E-2,-3.218437731E-2,1.582813263E-2,4.090279283E-2
1.158049236E0,-9.976312518E-3,-2.947158180E-2,1.569557190E-2,3.484898740E-2
1.162819288E0,-7.434964180E-3,-3.158643469E-2,2.031230927E-2,3.828278277E-2
1.167590122E0,-1.441108808E-2,-3.840390593E-2,2.489185333E-2,4.798066082E-2
1.172361788E0,-1.898354292E-2,-4.991263524E-2,3.180503845E-2,6.215469837E-2
1.177132622E0,-3.773443773E-2,-4.473469779E-2,-1.119518280E-2,5.958534296E-2
1.181902674E0,-4.929208755E-2,-2.772917785E-2,-4.908847809E-2,7.488855641E-2
1.186673559E0,-3.460932150E-2,-1.323951036E-2,-7.716846466E-2,8.560409866E-2
1.191445174E0,-1.292645559E-2,-1.546113752E-2,-6.940174103E-2,7.226853869E-2
1.196216007E0,-8.014842868E-3,-2.950651944E-2,-4.508304596E-2,5.447341947E-2
1.200986111E0,-2.216583863E-2,-2.918998525E-2,-4.708385468E-2,5.966798984E-2
1.205756945E0,-4.566714540E-2,-2.650172822E-2,-3.956890106E-2,6.598126779E-2
1.210528559E0,-4.282836616E-2,-1.436795481E-2,-6.298160553E-2,7.750735261E-2
1.215299445E0,-2.107715234E-2,7.189966738E-3,-9.094715118E-2,9.363400174E-2
1.220069497E0,-1.850039512E-2,9.518098086E-3,-1.068086624E-1,1.088161255E-1
1.224840330E0,-1.829078048E-2,9.481154382E-3,-8.455276489E-2,8.702651889E-2
1.229611945E0,-8.586328477E-3,1.653849334E-2,-5.298423767E-2,5.616561439E-2
1.234382830E0,-1.323609799E-2,1.166628301E-2,-3.354835510E-2,3.790499412E-2
1.239152882E0,-1.784739643E-2,6.835076958E-3,-1.427555084E-2,2.385454230E-2
1.243923768E0,-8.146774024E-3,9.194832295E-3,-1.178359985E-2,1.702257599E-2
1.248695382E0,-5.677893758E-3,4.412490875E-3,-2.118206024E-2,2.236935916E-2
1.253466216E0,-8.554458618E-4,9.166575968E-3,-9.134292603E-3,1.296893226E-2
1.258236268E0,8.732013404E-3,1.860088482E-2,5.184173584E-3,2.119237198E-2
1.263007153E0,1.106049865E-2,2.323633060E-2,1.226425171E-2,2.850742991E-2
1.267778768E0,6.218656898E-3,2.780468762E-2,1.691055298E-2,3.313214676E-2
1.272549653E0,1.473851502E-3,2.283878997E-2,2.863979340E-2,3.666088285E-2
1.277319705E0,3.833949566E-3,1.794293523E-2,3.315067291E-2,3.788951317E-2
