"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.576215700E-1,8.858165890E-2,1.101285368E-1,9.846927643E0,9.847941867E0
2.600186540E-1,8.379345387E-2,1.101285368E-1,9.873263359E0,9.874233084E0
2.624152680E-1,8.379345387E-2,1.197049394E-1,9.868474960E0,9.869556660E0
2.648114140E-1,8.618755639E-2,1.220990419E-1,9.873263359E0,9.874394454E0
2.672082370E-1,7.661115378E-2,1.197049394E-1,9.868474960E0,9.869498294E0
2.696049040E-1,7.421706617E-2,1.197049394E-1,9.849322319E0,9.850329314E0
2.720013620E-1,8.618755639E-2,1.125226393E-1,9.856505394E0,9.857524447E0
2.743974560E-1,9.336984903E-2,1.125226393E-1,9.875657082E0,9.876739445E0
2.767936010E-1,8.618755639E-2,1.364636272E-1,9.873263359E0,9.874582522E0
2.791904240E-1,8.139935881E-2,1.412518322E-1,9.863686562E0,9.865033731E0
2.815869350E-1,8.858165890E-2,1.268872321E-1,9.863686562E0,9.864900388E0
2.839833930E-1,8.618755639E-2,1.220990419E-1,9.868474960E0,9.869606604E0
2.863804760E-1,8.858165890E-2,1.220990419E-1,9.866081238E0,9.867234358E0
2.887775080E-1,9.576395154E-2,1.268872321E-1,9.856505394E0,9.857787261E0
2.911746950E-1,8.139935881E-2,1.268872321E-1,9.863686562E0,9.864838509E0
2.935715180E-1,7.661115378E-2,1.268872321E-1,9.858899117E0,9.860013257E0
2.959680810E-1,8.139935881E-2,1.292813420E-1,9.856505394E0,9.857689288E0
2.983652160E-1,8.618755639E-2,1.197049394E-1,9.878050804E0,9.879152051E0
3.007621950E-1,8.618755639E-2,1.244931296E-1,9.878050804E0,9.879211230E0
3.031588100E-1,8.139935881E-2,1.244931296E-1,9.873263359E0,9.874383715E0
3.055554760E-1,8.379345387E-2,1.220990419E-1,9.866081238E0,9.867192534E0
3.079520910E-1,8.139935881E-2,1.316754371E-1,9.849322319E0,9.850538788E0
3.103491740E-1,8.379345387E-2,1.340695322E-1,9.858899117E0,9.860166721E0
3.127459970E-1,8.858165890E-2,1.364636272E-1,9.873263359E0,9.874603708E0
3.151425600E-1,8.858165890E-2,1.244931296E-1,9.868474960E0,9.869657709E0
3.175398510E-1,9.097574651E-2,1.197049394E-1,9.856505394E0,9.857652075E0
