"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.217435090E-1,8.562013507E-3,1.004174352E-3,-8.250236511E-3,1.193242825E-2
7.265144470E-1,8.489437401E-3,1.009508967E-3,-1.293087006E-2,1.550151787E-2
7.312861650E-1,3.697179258E-3,-3.761768341E-3,-5.700111389E-3,7.766035370E-3
7.360571550E-1,-3.457739949E-3,3.405869007E-3,-8.026123047E-3,9.379475487E-3
7.408273110E-1,-3.459032625E-3,5.737066269E-3,-1.033306122E-2,1.231466566E-2
7.455983010E-1,1.316860318E-3,8.048653603E-3,-1.499652863E-2,1.707075911E-2
7.503700200E-1,8.427105844E-3,7.995292544E-3,-1.249790192E-2,1.706277727E-2
7.551410090E-1,8.355654776E-3,-6.330952048E-3,-1.001834869E-2,1.450052520E-2
7.599111650E-1,1.190792769E-3,-1.104122400E-2,-2.812385559E-3,1.145583377E-2
7.646821030E-1,1.151196659E-3,-1.096396148E-2,-2.788543701E-3,1.137144147E-2
7.694538740E-1,3.486510366E-3,-1.085904241E-2,1.982688904E-3,1.157607929E-2
7.742248110E-1,1.060711965E-2,-8.409157395E-3,6.714820862E-3,1.511005409E-2
7.789950200E-1,5.769640207E-3,-3.634124994E-3,4.284858704E-3,8.053299119E-3
7.837659570E-1,1.028493047E-3,-8.338287473E-3,-2.873420715E-3,8.879267004E-3
7.885377280E-1,3.421731293E-3,-5.881085992E-3,-9.971618652E-3,1.207180997E-2
7.933086650E-1,5.766134709E-3,3.649756312E-3,-1.226425171E-2,1.403498844E-2
7.980788220E-1,1.025009900E-3,-5.863368511E-3,-1.216316223E-2,1.354150106E-2
8.028498110E-1,-3.677040339E-3,-8.203089237E-3,-7.312774658E-3,1.158826872E-2
8.076215300E-1,5.848083645E-3,-5.746528506E-3,-1.296997070E-4,8.199969159E-3
8.123925200E-1,3.395091742E-3,-9.365081787E-4,-2.502441406E-3,4.320406057E-3
8.171626760E-1,9.909868240E-4,3.805026412E-3,-1.197910309E-2,1.260790195E-2
8.219336650E-1,-1.393090934E-3,1.356124878E-3,-9.502410889E-3,9.699257174E-3
8.267053840E-1,-8.506026119E-3,-1.015275717E-3,-2.301216125E-3,8.870110528E-3
8.314763220E-1,-1.318510622E-2,-9.929537773E-4,-4.656791687E-3,1.401851247E-2
8.362465300E-1,-5.982011557E-3,1.403003931E-3,-9.365081787E-3,1.120078744E-2
8.410174670E-1,1.189056784E-3,3.779172897E-3,-1.166248322E-2,1.231704179E-2
8.457892380E-1,-1.196671277E-3,6.107240915E-3,-6.815910339E-3,9.229682958E-3
8.505601760E-1,-3.534067422E-3,8.472800255E-3,-6.759643555E-3,1.140047182E-2
8.553303840E-1,1.242890954E-3,8.415728807E-3,-1.955032349E-3,8.728769717E-3
8.601013220E-1,1.231744885E-3,8.359134197E-3,4.348754883E-4,8.460581344E-3
8.648730400E-1,-5.902189761E-3,3.554895520E-3,-1.144027710E-2,1.335488923E-2
8.696440300E-1,-5.825348198E-3,-1.266375184E-3,-1.609134674E-2,1.716012318E-2
8.744141860E-1,-5.778029561E-3,-1.298993826E-3,-6.459236145E-3,8.763260931E-3
8.791851760E-1,-3.414284438E-3,1.042962074E-3,5.465507507E-3,6.528160570E-3
8.839568950E-1,-1.012913883E-3,1.047968864E-3,6.723403931E-4,1.605077842E-3
8.887278320E-1,-5.754429847E-3,-6.069317460E-3,3.040313721E-3,8.899077751E-3
8.934980400E-1,-5.679264665E-3,-8.379206061E-3,6.408691406E-4,1.014277352E-2
8.982689780E-1,-5.604721606E-3,-5.921527743E-3,-1.360988617E-2,1.586525753E-2
9.030407490E-1,-8.105114102E-4,-5.858644843E-3,-6.373405457E-3,8.694880405E-3
9.078116860E-1,6.317459047E-3,-3.450408578E-3,-3.946304321E-3,8.209075829E-3
9.125818950E-1,1.515295357E-3,8.462771773E-3,8.354187012E-4,8.637855666E-3
