"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.548525610E-1,1.049160957E-2,-2.295933664E-3,-4.734611511E-2,4.854894231E-2
5.596234980E-1,-1.438245177E-3,1.114010811E-4,-3.030776978E-2,3.034208081E-2
5.643952170E-1,8.034750819E-3,-9.394831955E-3,-4.427146912E-2,4.596502003E-2
5.691661030E-1,1.982481778E-2,-1.884613931E-2,-9.370326996E-2,9.761405210E-2
5.739362590E-1,1.255783439E-2,-1.626382768E-2,-1.545686722E-1,1.559284635E-1
5.787071960E-1,1.250334084E-2,5.307830870E-3,-1.555862427E-1,1.561780571E-1
5.834788630E-1,1.962690055E-2,2.188805491E-2,-1.162576675E-1,1.199172525E-1
5.882498010E-1,1.479469240E-2,2.883316576E-2,-2.980804443E-2,4.403128302E-2
5.930199570E-1,1.472392678E-2,3.331962973E-2,6.052017212E-3,3.692720755E-2
5.977908420E-1,2.977252007E-4,2.355542779E-2,3.625869751E-3,2.383471733E-2
6.025625610E-1,5.013376474E-3,1.150171459E-2,-2.489376068E-2,2.787692061E-2
6.073334980E-1,2.404923737E-2,1.851465553E-2,-9.116077423E-2,9.608040927E-2
6.121036030E-1,2.155835927E-2,1.362476498E-2,-7.852935791E-2,8.256668292E-2
6.168745400E-1,7.275253534E-3,1.115190983E-2,-5.175399780E-2,5.343941144E-2
6.216462590E-1,-6.946057081E-3,3.006628901E-2,1.040554047E-2,3.256539139E-2
6.264171440E-1,-9.206384420E-3,2.751342207E-2,7.679653168E-2,8.209417267E-2
6.311873010E-1,-1.147688925E-2,2.020360529E-2,9.277534485E-2,9.564083472E-2
6.359582380E-1,-6.605997682E-3,2.479695529E-2,6.588649750E-2,7.070755794E-2
6.407299050E-1,5.347236991E-3,2.460515499E-2,1.548099518E-2,2.955787217E-2
6.455008420E-1,1.248082519E-2,1.494616270E-2,-2.500724792E-2,3.169418283E-2
6.502709980E-1,1.246100664E-2,1.246158034E-2,-3.904247284E-2,4.283552680E-2
6.550419360E-1,1.009571552E-2,2.664524317E-2,1.646041870E-3,2.854123174E-2
6.598136030E-1,6.562173367E-4,4.071072489E-2,6.811237335E-2,7.935420056E-2
6.645845400E-1,-1.116430759E-2,4.038559645E-2,1.150283813E-1,1.224220841E-1
6.693546960E-1,-6.352514029E-3,3.294144571E-2,1.093196869E-1,1.143515947E-1
6.741255820E-1,-3.955021501E-3,3.268177807E-2,3.006076813E-2,4.458015919E-2
6.788973010E-1,8.249282837E-4,2.295547724E-2,-2.479457855E-2,3.379949064E-2
6.836682380E-1,7.996723056E-3,1.331166923E-2,-3.170967102E-2,3.530795029E-2
6.884383420E-1,5.640387535E-3,2.983461320E-2,-1.719951630E-2,3.489615276E-2
6.932092800E-1,3.303170204E-3,5.096673965E-2,2.093315125E-2,5.519706791E-2
6.979809460E-1,-3.790810704E-3,5.055686086E-2,5.399703979E-2,7.406785222E-2
7.027518840E-1,-3.789037466E-3,4.774702340E-2,7.016563416E-2,8.495499553E-2
7.075220400E-1,1.280273497E-2,3.551958501E-2,4.346370697E-2,5.757295169E-2
7.122929780E-1,1.744276285E-2,1.624381542E-2,-3.287029266E-2,4.060255725E-2
7.170646440E-1,1.735286415E-2,1.848459244E-3,-8.482742310E-2,8.660387061E-2
7.218355820E-1,2.206929028E-2,1.847185194E-3,-7.936859131E-2,8.240047908E-2
7.266057380E-1,1.487563550E-2,1.368815452E-2,-4.071903229E-2,4.546085895E-2
7.313766230E-1,5.310788751E-3,1.358821243E-2,-1.811981201E-5,1.458918512E-2
7.361483420E-1,-9.008452296E-3,8.711583912E-3,1.660156250E-2,2.080037943E-2
7.409192800E-1,-6.532281637E-3,-7.995136082E-3,1.408863068E-2,1.746660868E-2
7.456893840E-1,7.002800703E-4,-2.215926349E-2,-1.451683044E-2,2.650022107E-2
7.504603210E-1,-3.969639540E-3,-1.724068820E-2,-4.288387299E-2,4.638993350E-2
7.552320400E-1,-6.226196885E-3,-1.708216965E-2,-6.863975525E-2,7.100691550E-2
7.600029260E-1,-8.435770869E-3,-1.695419848E-2,-7.518672943E-2,7.753483965E-2
7.647730820E-1,-5.850404501E-3,-9.677067399E-3,-3.182315826E-2,3.377256680E-2
7.695440190E-1,-3.315344453E-3,-1.670616865E-2,8.805274963E-3,1.917343076E-2
7.743157380E-1,-3.147020936E-3,-2.602234483E-2,2.535438538E-2,3.646794522E-2
7.790866230E-1,-5.353718996E-3,-3.525947034E-2,2.752113342E-2,4.504781172E-2
7.838567800E-1,-9.915962815E-3,-4.919568077E-2,-1.194000244E-3,5.019927252E-2
7.886277170E-1,-7.317706943E-3,-4.874235764E-2,-3.204631805E-2,5.879058398E-2
7.933993840E-1,-4.684060812E-3,-3.404793143E-2,-4.364395142E-2,5.555174665E-2
